id,segment,name,status,end_date,start_date,budget,spend
1,Churn Risk,We Miss You,Scheduled,12/1/2025,7/9/2025,98918,81487
2,New Signups (Last 30 Days),New Signup Nurture,Completed,4/24/2025,12/6/2025,90054,98004
3,Inactive > 90 Days,Come-Back Offer,Scheduled,8/6/2025,9/5/2025,65779,56825
4,Churn Risk,We Miss You,Scheduled,8/24/2025,11/22/2025,72369,77818
5,Churn Risk,Loyalty Reminder,Active,6/11/2025,6/2/2025,10028,10821
6,New Signups (Last 30 Days),Getting Started Journey,Scheduled,3/19/2025,4/2/2025,14338,12682
7,New Signups (Last 30 Days),New Signup Nurture,Active,8/23/2025,2/4/2025,9548,7834
8,High CLV Customers,VIP Rewards,Completed,9/10/2025,10/18/2025,98054,83406
9,High CLV Customers,End-of-Year Upsell,Active,2/24/2025,8/7/2025,67528,47474
10,New Signups (Last 30 Days),New Signup Nurture,Active,10/17/2025,7/6/2025,12526,12889
11,Inactive > 90 Days,Inactivity Reactivation Flow,Active,8/19/2025,10/8/2025,21349,22365
12,Churn Risk,Loyalty Reminder,Scheduled,12/29/2024,10/17/2025,97285,105708
13,Inactive > 90 Days,Deep Winback,Active,6/18/2025,8/20/2025,79131,84776
14,High CLV Customers,VIP Rewards,Completed,3/26/2025,3/8/2025,72066,60191
15,Churn Risk,We Miss You,Active,6/23/2025,2/7/2025,64041,66830
16,Churn Risk,Winback Flow,Active,8/2/2025,3/26/2025,89810,82378
17,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,5/5/2025,9/20/2025,86020,84137
18,New Signups (Last 30 Days),Welcome Series – Step 2,Completed,7/21/2025,10/12/2025,81854,58472
19,Churn Risk,Reactivation Journey,Completed,9/29/2025,9/13/2025,16724,13115
20,New Signups (Last 30 Days),Welcome Series – Step 2,Scheduled,4/9/2025,9/7/2025,54868,49242
21,High CLV Customers,Premium Features Upsell,Active,11/5/2025,11/3/2025,62073,61644
22,High CLV Customers,Premium Features Upsell,Scheduled,8/15/2025,6/4/2025,14524,10819
23,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,5/9/2025,11/29/2025,28821,27321
24,New Signups (Last 30 Days),Welcome Series – Step 1,Scheduled,12/3/2025,3/30/2025,77337,77211
25,High CLV Customers,VIP Rewards,Active,10/26/2025,12/4/2025,85932,73772
26,Inactive > 90 Days,Deep Winback,Completed,6/28/2025,11/5/2025,82969,88191
27,Inactive > 90 Days,Deep Winback,Scheduled,4/21/2025,6/23/2025,82526,88333
28,Inactive > 90 Days,Deep Winback,Completed,10/23/2025,9/21/2025,44243,42560
29,Inactive > 90 Days,Come-Back Offer,Scheduled,8/25/2025,1/26/2025,79341,55868
30,Inactive > 90 Days,Deep Winback,Active,7/1/2025,5/8/2025,34459,34375
31,Churn Risk,Loyalty Reminder,Completed,6/5/2025,12/29/2024,76068,72955
32,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,3/2/2025,12/16/2024,26379,27439
33,New Signups (Last 30 Days),Welcome Series – Step 1,Active,7/7/2025,8/13/2025,18034,18767
34,High CLV Customers,VIP Rewards,Completed,11/28/2025,8/5/2025,43883,43330
35,Churn Risk,We Miss You,Active,6/9/2025,2/1/2025,2037,2088
36,High CLV Customers,Exclusive Member Upgrade,Scheduled,12/27/2024,2/7/2025,78816,56931
37,Inactive > 90 Days,Inactivity Reactivation Flow,Completed,6/15/2025,8/2/2025,77586,63252
38,Churn Risk,Loyalty Reminder,Active,8/27/2025,2/28/2025,61986,56633
39,New Signups (Last 30 Days),Getting Started Journey,Completed,2/22/2025,2/22/2025,55211,55116
40,Inactive > 90 Days,Deep Winback,Active,12/8/2025,10/26/2025,42500,42620
41,New Signups (Last 30 Days),Getting Started Journey,Scheduled,9/6/2025,9/13/2025,13173,11701
42,Churn Risk,Reactivation Journey,Scheduled,5/10/2025,8/29/2025,83446,71533
43,High CLV Customers,Premium Features Upsell,Scheduled,5/27/2025,1/24/2025,70369,51466
44,New Signups (Last 30 Days),Getting Started Journey,Completed,8/15/2025,4/11/2025,24932,20815
45,Inactive > 90 Days,Deep Winback,Active,2/18/2025,8/21/2025,79098,67272
46,Inactive > 90 Days,Come-Back Offer,Scheduled,8/31/2025,8/1/2025,59690,61289
47,Churn Risk,Reactivation Journey,Scheduled,2/13/2025,2/7/2025,24322,17704
